CaseNumber,IUCR,Description,LocationDescription,Arrest,District,CommunityArea,UpdatedOn,Latitude,Longitude,Date,Time,Year,Month,Day
JF101200,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,72,2023-01-03 15:40:27,41.6991,-87.6844,2022-01-02,11:55:00,2022,1,2
JF101510,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,4,46,2023-01-03 15:40:27,41.7382,-87.566,2022-01-02,18:19:00,2022,1,2
JF100985,486.0,DOMESTIC BATTERY SIMPLE,VEHICLE NON - COMMERCIAL,0,6,71,2023-01-03 15:40:27,41.7519,-87.6441,2022-01-02,03:45:00,2022,1,2
JF101658,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,26,2023-01-03 15:40:27,41.8798,-87.7217,2022-01-02,23:00:00,2022,1,2
JF101684,460.0,SIMPLE,RESIDENCE - PORCH / HALLWAY,0,25,19,2023-01-03 15:40:27,41.931,-87.7826,2022-01-02,11:38:00,2022,1,2
JF101668,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,0,8,70,2023-01-03 15:40:27,41.7399,-87.7216,2022-01-02,22:30:00,2022,1,2
JF101756,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,0,4,46,2023-01-03 15:40:27,41.7512,-87.5687,2022-01-03,03:13:00,2022,1,3
JF101666,460.0,SIMPLE,RESIDENCE,0,22,73,2023-01-03 15:40:27,41.7225,-87.6542,2022-01-02,23:12:00,2022,1,2
JF100982,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8615,-87.7202,2022-01-02,04:25:00,2022,1,2
JF101770,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,4,45,2023-01-03 15:40:27,41.7524,-87.5943,2022-01-03,05:15:00,2022,1,3
JF102032,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,25,18,2023-01-03 15:40:27,41.9353,-87.7932,2022-01-03,09:00:00,2022,1,3
JF101743,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,24,2,2023-01-03 15:40:27,42.0001,-87.6912,2022-01-03,02:36:00,2022,1,3
JF101909,462.0,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",CTA BUS,1,15,25,2023-01-03 15:40:27,41.8801,-87.7743,2022-01-03,09:18:00,2022,1,3
JF101987,460.0,SIMPLE,APARTMENT,0,16,76,2023-01-03 15:40:27,41.9637,-87.8385,2022-01-03,10:50:00,2022,1,3
JF102113,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,16,11,2023-01-03 15:40:27,41.969,-87.7675,2022-01-03,12:00:00,2022,1,3
JF102121,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,36,2023-01-03 15:40:27,41.8221,-87.6034,2022-01-03,12:40:00,2022,1,3
JF102455,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,19,2023-01-03 15:40:27,41.925,-87.7572,2022-01-02,18:00:00,2022,1,2
JF102184,495.0,AGGRAVATED OF A SENIOR CITIZEN,WAREHOUSE,0,3,43,2023-01-03 15:40:27,41.7662,-87.5841,2022-01-03,13:22:00,2022,1,3
JF102370,462.0,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,0,3,43,2023-01-03 15:40:27,41.7597,-87.585,2022-01-03,16:27:00,2022,1,3
JF102529,460.0,SIMPLE,APARTMENT,0,18,8,2023-01-03 15:40:27,41.9037,-87.6441,2022-01-01,03:00:00,2022,1,1
JF102280,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,73,2023-01-03 15:40:27,41.7114,-87.6502,2022-01-03,15:19:00,2022,1,3
JF102589,460.0,SIMPLE,STREET,0,11,26,2023-01-03 15:40:27,41.8744,-87.7261,2022-01-03,20:06:00,2022,1,3
JF102469,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,56,2023-01-03 15:40:27,41.7898,-87.7732,2022-01-02,22:00:00,2022,1,2
JF101953,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,6,44,2023-01-03 15:40:27,41.7503,-87.623,2022-01-03,09:53:00,2022,1,3
JF102749,460.0,SIMPLE,CTA TRAIN,0,6,44,2023-01-03 15:40:27,41.7508,-87.6245,2022-01-04,04:04:00,2022,1,4
JF102706,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,19,3,2023-01-03 15:40:27,41.9659,-87.6452,2022-01-03,02:00:00,2022,1,3
JF102907,430.0,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,0,7,67,2023-01-03 15:40:27,41.7937,-87.6628,2022-01-04,09:30:00,2022,1,4
JF102940,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,11,27,2023-01-03 15:40:27,41.8809,-87.7095,2022-01-04,10:10:00,2022,1,4
JF102567,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,40,2023-01-03 15:40:27,41.7868,-87.619,2022-01-03,19:35:00,2022,1,3
JF102871,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,7,67,2023-01-03 15:40:27,41.7722,-87.6623,2022-01-04,09:00:00,2022,1,4
JF103197,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,1,15,25,2023-01-03 15:40:27,41.8786,-87.7463,2022-01-04,14:00:00,2022,1,4
JF103218,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,0,2,39,2023-01-03 15:40:27,41.8107,-87.6017,2022-01-04,14:00:00,2022,1,4
JF103394,460.0,SIMPLE,BANK,0,18,7,2023-01-03 15:40:27,41.9206,-87.6629,2022-01-04,13:15:00,2022,1,4
JF103255,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,33,2023-01-03 15:40:27,41.8538,-87.6255,2022-01-02,04:00:00,2022,1,2
JF103378,484.0,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,1,15,25,2023-01-03 15:40:27,41.8723,-87.7646,2022-01-04,16:44:00,2022,1,4
JF102582,460.0,SIMPLE,APARTMENT,0,5,53,2023-01-03 15:40:27,41.6771,-87.6322,2022-01-03,19:59:00,2022,1,3
JF103672,460.0,SIMPLE,GAS STATION,0,7,67,2023-01-03 15:40:27,41.7654,-87.6735,2022-01-04,23:45:00,2022,1,4
JF103719,454.0,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,1,15,25,2023-01-03 15:40:27,41.8723,-87.7646,2022-01-05,00:59:00,2022,1,5
JF103731,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,36,2023-01-03 15:40:27,41.8301,-87.6101,2022-01-05,02:31:00,2022,1,5
JF103700,460.0,SIMPLE,STREET,0,25,25,2023-01-03 15:40:27,41.9095,-87.7578,2022-01-04,23:30:00,2022,1,4
JF103758,460.0,SIMPLE,APARTMENT,0,4,43,2023-01-03 15:40:27,41.7518,-87.5631,2022-01-05,04:56:00,2022,1,5
JF103114,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,6,71,2023-01-03 15:40:27,41.7452,-87.643,2022-01-04,13:11:00,2022,1,4
JF103839,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,15,25,2023-01-03 15:40:27,41.9013,-87.7521,2022-01-05,04:00:00,2022,1,5
JF104015,460.0,SIMPLE,SIDEWALK,0,3,43,2023-01-03 15:40:27,41.7728,-87.5765,2022-01-05,12:20:00,2022,1,5
JF104012,460.0,SIMPLE,DRUG STORE,0,2,35,2023-01-03 15:40:27,41.8323,-87.617,2022-01-05,12:10:00,2022,1,5
JF104099,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,39,2023-01-03 15:40:27,41.8071,-87.5864,2022-01-05,08:15:00,2022,1,5
JF104230,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,19,2023-01-03 15:40:27,41.9348,-87.7742,2022-01-05,15:59:00,2022,1,5
JF104256,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,3,42,2023-01-03 15:40:27,41.7833,-87.6096,2022-01-05,15:41:00,2022,1,5
JF104406,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,20,2023-01-03 15:40:27,41.9145,-87.7314,2022-01-04,21:00:00,2022,1,4
JF104370,460.0,SIMPLE,STREET,0,15,25,2023-01-03 15:40:27,41.8879,-87.7712,2022-01-05,16:30:00,2022,1,5
JF104379,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,24,2,2023-01-03 15:40:27,42.0037,-87.6998,2022-01-05,17:52:00,2022,1,5
JF104760,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,22,49,2023-01-03 15:40:27,41.7061,-87.6363,2022-01-06,09:30:00,2022,1,6
JF105015,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,29,2023-01-03 15:40:27,41.8613,-87.7045,2022-01-06,13:40:00,2022,1,6
JF104909,486.0,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,1,5,49,2023-01-03 15:40:27,41.7072,-87.6213,2022-01-06,12:08:00,2022,1,6
JF103471,498.0,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,0,1,35,2023-01-03 15:40:27,41.8414,-87.6269,2022-01-04,18:03:00,2022,1,4
JF104931,460.0,SIMPLE,CTA TRAIN,0,18,7,2023-01-03 15:40:27,41.9254,-87.6523,2022-01-06,12:43:00,2022,1,6
JF104578,460.0,SIMPLE,APARTMENT,0,18,8,2023-01-03 15:40:27,41.8933,-87.6264,2022-01-01,00:30:00,2022,1,1
JF105116,460.0,SIMPLE,APARTMENT,1,12,31,2023-01-03 15:40:27,41.8587,-87.6699,2022-01-06,13:00:00,2022,1,6
JF104490,460.0,SIMPLE,RESTAURANT,0,12,28,2023-01-03 15:40:27,41.8812,-87.685,2022-01-05,20:00:00,2022,1,5
JF105119,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,18,8,2023-01-03 15:40:27,41.9037,-87.645,2022-01-06,13:30:00,2022,1,6
JF105076,496.0,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,0,3,42,2023-01-03 15:40:27,41.7775,-87.6046,2022-01-06,14:15:00,2022,1,6
JF105331,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,22,73,2023-01-03 15:40:27,41.7226,-87.6408,2022-01-06,18:45:00,2022,1,6
JF105239,460.0,SIMPLE,SMALL RETAIL STORE,0,1,32,2023-01-03 15:40:27,41.886,-87.6245,2022-01-06,17:20:00,2022,1,6
JF105347,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,16,15,2023-01-03 15:40:27,41.9539,-87.7805,2022-01-06,19:30:00,2022,1,6
JF105348,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,6,71,2023-01-03 15:40:27,41.7377,-87.6551,2022-01-06,19:54:00,2022,1,6
JF104570,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.7602,-87.5749,2022-01-05,23:30:00,2022,1,5
JF104973,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,4,48,2023-01-03 15:40:27,41.7346,-87.5708,2022-01-06,12:50:00,2022,1,6
JF105498,460.0,SIMPLE,BAR OR TAVERN,1,4,48,2023-01-03 15:40:27,41.7286,-87.5855,2022-01-07,02:43:00,2022,1,7
JF103988,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,4,51,2023-01-03 15:40:27,41.7184,-87.5647,2022-01-05,07:00:00,2022,1,5
JF105541,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,1,4,43,2023-01-03 15:40:27,41.7538,-87.5521,2022-01-07,06:20:00,2022,1,7
JF105771,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,30,2023-01-03 15:40:27,41.8532,-87.693,2022-01-07,11:05:00,2022,1,7
JF105999,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,11,26,2023-01-03 15:40:27,41.8789,-87.7267,2022-01-07,14:51:00,2022,1,7
JF106326,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,67,2023-01-03 15:40:27,41.7845,-87.6607,2022-01-07,19:05:00,2022,1,7
JF106236,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,63,2023-01-03 15:40:27,41.7927,-87.7011,2022-01-07,18:20:00,2022,1,7
JF106237,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,19,3,2023-01-03 15:40:27,41.9618,-87.6558,2022-01-07,18:30:00,2022,1,7
JF106383,484.0,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",GAS STATION,1,3,69,2023-01-03 15:40:27,41.7653,-87.6153,2022-01-07,21:29:00,2022,1,7
JF106347,486.0,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,1,14,24,2023-01-03 15:40:27,41.9101,-87.6677,2022-01-07,20:00:00,2022,1,7
JF106425,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,17,21,2023-01-03 15:40:27,41.9447,-87.7192,2022-01-07,23:08:00,2022,1,7
JF106419,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,11,26,2023-01-03 15:40:27,41.8807,-87.7247,2022-01-07,22:45:00,2022,1,7
JF106471,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,4,43,2023-01-03 15:40:27,41.7527,-87.5614,2022-01-08,00:00:00,2022,1,8
JF105580,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,24,1,2023-01-03 15:40:27,42.0176,-87.6682,2022-01-07,07:26:00,2022,1,7
JF106543,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,5,53,2023-01-03 15:40:27,41.679,-87.6263,2022-01-08,06:18:00,2022,1,8
JF106657,460.0,SIMPLE,SIDEWALK,0,19,7,2023-01-03 15:40:27,41.9261,-87.6497,2022-01-08,09:50:00,2022,1,8
JF106556,460.0,SIMPLE,APARTMENT,0,24,1,2023-01-03 15:40:27,42.0058,-87.67,2022-01-08,04:00:00,2022,1,8
JF106557,460.0,SIMPLE,APARTMENT,0,24,77,2023-01-03 15:40:27,41.9934,-87.6583,2022-01-08,07:45:00,2022,1,8
JF106735,460.0,SIMPLE,RESIDENCE,0,25,20,2023-01-03 15:40:27,41.9245,-87.7284,2022-01-08,12:00:00,2022,1,8
JF106622,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,25,17,2023-01-03 15:40:27,41.9369,-87.8092,2022-01-08,08:40:00,2022,1,8
JF106693,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,1,8,65,2023-01-03 15:40:27,41.786,-87.7163,2022-01-08,10:45:00,2022,1,8
JF106340,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,8,70,2023-01-03 15:40:27,41.7531,-87.7098,2022-01-07,19:00:00,2022,1,7
JF106861,486.0,DOMESTIC BATTERY SIMPLE,DEPARTMENT STORE,0,5,51,2023-01-03 15:40:27,41.6974,-87.595,2022-01-08,14:28:00,2022,1,8
JF106957,460.0,SIMPLE,PARK PROPERTY,1,14,24,2023-01-03 15:40:27,41.9094,-87.7005,2022-01-08,15:52:00,2022,1,8
JF106400,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,17,14,2023-01-03 15:40:27,41.967,-87.7158,2022-01-07,06:00:00,2022,1,7
JF106972,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,3,43,2023-01-03 15:40:27,41.7715,-87.5903,2022-01-08,15:37:00,2022,1,8
JF107105,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,35,2023-01-03 15:40:27,41.8413,-87.6281,2022-01-08,19:07:00,2022,1,8
JF106401,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,8,66,2023-01-03 15:40:27,41.7863,-87.6991,2022-01-07,22:27:00,2022,1,7
JF107066,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,3,42,2023-01-03 15:40:27,41.7741,-87.6094,2022-01-07,18:30:00,2022,1,7
JF107136,460.0,SIMPLE,SIDEWALK,0,14,24,2023-01-03 15:40:27,41.9057,-87.6896,2022-01-08,19:50:00,2022,1,8
JF107284,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,12,31,2023-01-03 15:40:27,41.8541,-87.6722,2022-01-09,00:30:00,2022,1,9
JF107278,486.0,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,0,18,8,2023-01-03 15:40:27,41.8951,-87.6243,2022-01-08,23:52:00,2022,1,8
JF107226,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,6,71,2023-01-03 15:40:27,41.7388,-87.6741,2022-01-08,21:55:00,2022,1,8
JF107370,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,10,30,2023-01-03 15:40:27,41.8509,-87.7125,2022-01-09,02:03:00,2022,1,9
JF107426,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,23,2023-01-03 15:40:27,41.8891,-87.7235,2022-01-09,08:00:00,2022,1,9
JF107394,460.0,SIMPLE,SMALL RETAIL STORE,0,19,6,2023-01-03 15:40:27,41.9439,-87.6494,2022-01-09,06:40:00,2022,1,9
JF107515,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,25,25,2023-01-03 15:40:27,41.9151,-87.7986,2022-01-09,10:00:00,2022,1,9
JF107432,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,9,61,2023-01-03 15:40:27,41.8025,-87.6672,2022-01-09,08:00:00,2022,1,9
JF107454,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,0,6,44,2023-01-03 15:40:27,41.7505,-87.6214,2022-01-09,08:32:00,2022,1,9
JF107632,460.0,SIMPLE,HOSPITAL BUILDING / GROUNDS,0,12,28,2023-01-03 15:40:27,41.8742,-87.6679,2022-01-08,12:30:00,2022,1,8
JF107767,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,3,43,2023-01-03 15:40:27,41.7625,-87.5611,2022-01-09,14:43:00,2022,1,9
JF107900,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,15,25,2023-01-03 15:40:27,41.8822,-87.7672,2022-01-09,16:09:00,2022,1,9
JF107954,460.0,SIMPLE,CTA TRAIN,0,11,26,2023-01-03 15:40:27,41.8746,-87.7255,2022-01-08,20:23:00,2022,1,8
JF107966,495.0,AGGRAVATED OF A SENIOR CITIZEN,RESIDENCE,0,4,51,2023-01-03 15:40:27,41.7145,-87.5733,2022-01-09,18:28:00,2022,1,9
JF108065,486.0,DOMESTIC BATTERY SIMPLE,SIDEWALK,0,15,25,2023-01-03 15:40:27,41.8849,-87.7634,2022-01-09,20:30:00,2022,1,9
JF108111,486.0,DOMESTIC BATTERY SIMPLE,STREET,0,15,25,2023-01-03 15:40:27,41.874,-87.7515,2022-01-09,23:25:00,2022,1,9
JF107395,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,9,34,2023-01-03 15:40:27,41.8248,-87.6327,2022-01-08,06:09:00,2022,1,8
JF107378,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,7,68,2023-01-03 15:40:27,41.7724,-87.6488,2022-01-09,04:50:00,2022,1,9
JF107723,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,63,2023-01-03 15:40:27,41.7931,-87.6813,2022-01-09,14:30:00,2022,1,9
JF108117,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,27,2023-01-03 15:40:27,41.8848,-87.7147,2022-01-10,00:01:00,2022,1,10
JF105478,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,7,67,2023-01-03 15:40:27,41.7678,-87.6615,2022-01-07,00:55:00,2022,1,7
JF108215,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,5,49,2023-01-03 15:40:27,41.697,-87.6311,2022-01-10,07:50:00,2022,1,10
JF108459,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,2,39,2023-01-03 15:40:27,41.8032,-87.5854,2022-01-10,11:00:00,2022,1,10
JF108507,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,2,41,2023-01-03 15:40:27,41.8014,-87.6057,2022-01-10,11:48:00,2022,1,10
JF108528,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,11,23,2023-01-03 15:40:27,41.9013,-87.7337,2022-01-10,12:45:00,2022,1,10
JF108894,460.0,SIMPLE,CTA TRAIN,0,9,37,2023-01-03 15:40:27,41.7945,-87.6311,2022-01-10,17:28:00,2022,1,10
JF108897,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,10,30,2023-01-03 15:40:27,41.8492,-87.7003,2022-01-10,03:00:00,2022,1,10
JF108772,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,5,53,2023-01-03 15:40:27,41.6645,-87.6391,2022-01-10,16:07:00,2022,1,10
JF108678,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,3,43,2023-01-03 15:40:27,41.768,-87.5708,2022-01-09,11:00:00,2022,1,9
JF108989,460.0,SIMPLE,RESIDENCE,0,9,61,2023-01-03 15:40:27,41.7944,-87.6411,2022-01-10,19:32:00,2022,1,10
JF108998,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,8,66,2023-01-03 15:40:27,41.7656,-87.6869,2022-01-10,19:35:00,2022,1,10
JF109111,497.0,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,25,22,2023-01-03 15:40:27,41.9234,-87.7231,2022-01-10,21:00:00,2022,1,10
JF109094,420.0,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,0,7,69,2023-01-03 15:40:27,41.7692,-87.6257,2022-01-11,00:01:00,2022,1,11
JF109063,486.0,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,18,8,2023-01-03 15:40:27,41.8921,-87.6177,2022-01-10,18:45:00,2022,1,10
JF109113,486.0,DOMESTIC BATTERY SIMPLE,ALLEY,0,24,1,2023-01-03 15:40:27,42.0097,-87.6723,2022-01-11,00:56:00,2022,1,11
JF109097,486.0,DOMESTIC BATTERY SIMPLE,APARTMENT,0,7,67,2023-01-03 15:40:27,41.7638,-87.6541,2022-01-11,00:15:00,2022,1,11
